id_master,id_using,_pc01_block_name_master,_pc01_block_name_using
bijnor-aaku(nehtor),9-3-nehtaur,aaku nehtor,nehtaur
kanpur nagar-bidhnu,9-34-vidhunu,bidhnu,vidhunu
jalaun-madhaugadh,9-35-madhoganj,madhaugadh,madhoganj
jhansi-bamore,9-36-bamaur,bamore,bamaur
mahoba-kabrai,9-39-kabrai mahoba,kabrai,kabrai mahoba
chitrakoot-chitrakoot,9-41-karvi chitrakootdham,chitrakoot,karvi chitrakootdham
pratapgarh-sadar,9-43-pratapgarh sadar,sadar,pratapgarh sadar
allahabad-kaudihar     i,9-45-kaurihar,kaudihar-1,kaurihar
allahabad-soram,9-45-soraon,soram,soraon
faizabad-harintanganj,9-47-harringtonganj,harintanganj,harringtonganj
faizabad-maya,9-47-mavai,maya,mavai
faizabad-pura,9-47-purabazar,pura,purabazar
sultanpur-bhadaiyan,9-49-bhadayeea,bhadaiyan,bhadayeea
shrawasti-ikauna,9-51-ekona,ikauna,ekona
gonda-colonelganj,9-53-karnailganj,colonelganj,karnailganj
siddharthnagar-barhani,9-54-barhnibazar,barhani,barhnibazar
siddharthnagar-jogiya,9-54-jogiakhas,jogiya,jogiakhas
basti-basti sadar,9-55-basti,basti sadar,basti
sant kabir nagar-haserbajar,9-56-haisarbazar,haserbajar,haisarbazar
kushinagar-naurangiya,9-59-nebuanaurangiya,naurangiya,nebuanaurangiya
kushinagar-seorahi,9-59-sevarhi,seorahi,sevarhi
deoria-deoria sadar,9-60-deoria,deoria sadar,deoria
azamgarh-palahni,9-61-palhani,palahni,palhani
azamgarh-foolpoor,9-61-phulpur,foolpoor,phulpur
mau-barhraou,9-62-badraon,barhraou,badraon
ballia-beruarbari,9-63-veruarwari,beruarbari,veruarwari
ghazipur-ghazipur sadar,9-65-ghazipur,ghazipur sadar,ghazipur
ghazipur-barachawar,9-65-varachakwar,barachawar,varachakwar
mirzapur-nagar,9-69-nagar city,nagar,nagar city
mirzapur-nerayen pur,9-69-narainpur,nerayen pur,narainpur
meerut-jani,9-7-janikhurd,jani,janikhurd
meerut-mawana,9-7-mawanakalan,mawana,mawanakalan
meerut-sarurpur,9-7-sarurpurkhurd,sarurpur,sarurpurkhurd
