id_master,id_using,_pc01_block_name_master,_pc01_block_name_using
Chattisgarh-DURG_BALOD                              ,22-10-sanjaribalod,balod,sanjaribalod
Chattisgarh-JANJGIR - CHAMPA_BAMHANI DIH                        ,22-06-bamhnidih champa,bamhani dih,bamhnidih champa
Chattisgarh-JASHPUR_FARSABAHAR,22-03-pharsabahar tapkara,farsabahar,pharsabahar tapkara
Chattisgarh-JASHPUR_JASHPUR                            ,22-03-jashpurnagar,jashpur,jashpurnagar
Chattisgarh-KANKER_NARHARPUR                          ,22-14-sarana narharpur,narharpur,sarana narharpur
Chattisgarh-KORIYA_BHARATPUR                          ,22-01-bharatpur janakpur,bharatpur,bharatpur janakpur
Chattisgarh-RAIGARH (CHHATTISGARH)_BARAMKELA,22-04-sarailendha baramkela,baramkela,sarailendha baramkela
Chattisgarh-RAIGARH (CHHATTISGARH)_PUSSORE                            ,22-04-pusaur,pussore,pusaur
Chattisgarh-RAIPUR_ARANG                              ,22-11-chandkhurai arang,arang,chandkhurai arang
Chattisgarh-RAIPUR_DHARSHIWA,22-11-raipur dharsiva,dharshiwa,raipur dharsiva
Chattisgarh-RAIPUR_FINGESWAR                          ,22-11-rajim phingeshwar,fingeswar,rajim phingeshwar
Chattisgarh-SURGUJA_RAMCHANDRAPUR                      ,22-02-ramchandrapur ramanujganj,ramchandrapur,ramchandrapur ramanujganj
Gujarat-AHMEDABAD_AMC,24-07-ahmadabadcity,amc,ahmadabadcity
Gujarat-AMRELI_KUKAVAV,24-13-kunkavavvadia,kukavav,kunkavavvadia
Gujarat-DOHAD_DEV.BARIA,24-18-devgadbaria,devbaria,devgadbaria
Gujarat-DOHAD_ZALOD,24-18-jhalod,zalod,jhalod
Gujarat-JAMNAGAR_DWARKA,24-10-okhamandal,dwarka,okhamandal
Gujarat-JAMNAGAR_JAMKALYANPUR,24-10-kalyanpur,jamkalyanpur,kalyanpur
